SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2019,MENLO PARK,CA,94025,6810000,6,6,MENLO PARK,5196,10500,2006,,1311,,Sold,,,https://www.redfin.com/CA/Menlo-Park/1210-Bay-Laurel-Dr-94025/home/893233,MLSListings,ML81741168,N,Y,37.44067,-122.1827867
PAST SALE,2019,PALO ALTO,CA,94301,9450000,8,8,PALO ALTO,5225,9720,2014,,1809,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1479-Hamilton-Ave-94301/home/1042642,MLSListings,ML81747421,N,Y,37.4531417,-122.1386116
PAST SALE,2019,PALO ALTO,CA,94303,5230000,7,5,PALO ALTO,4866,7779,2005,,1075,,Sold,,,https://www.redfin.com/CA/Palo-Alto/702-Rosewood-Dr-94303/home/1396751,MLSListings,ML81743529,N,Y,37.4354073,-122.1293839
PAST SALE,2019,PALO ALTO,CA,94301,6423200,6,6.5,PALO ALTO,4293,7500,2013,,1496,,Sold,,,https://www.redfin.com/CA/Palo-Alto/812-Lincoln-Ave-94301/home/173107239,MLSListings,ML81738962,N,Y,37.4473115,-122.1477053
PAST SALE,2019,PALO ALTO,CA,94301,8700000,5,5.5,PALO ALTO,5107,7913,2019,,1704,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1211-Byron-St-94301/home/167197369,MLSListings,ML81749497,N,Y,37.4445834,-122.148276
PAST SALE,2019,PALO ALTO,CA,94303,4350000,5,3,PALO ALTO,3357,8787,1987,,1296,,Sold,,,https://www.redfin.com/CA/Palo-Alto/787-Talisman-Ct-94303/home/1245692,MLSListings,ML81740335,N,Y,37.4272199,-122.1144761
PAST SALE,2019,PALO ALTO,CA,94306,3000000,5,4,PALO ALTO,3624,5781,2007,,828,,Sold,,,https://www.redfin.com/CA/Palo-Alto/530-Irven-Ct-94306/home/763326,MLSListings,ML81755700,N,Y,37.4102745,-122.1251248
PAST SALE,2019,PALO ALTO,CA,94301,6700000,5,5.5,PALO ALTO,5158,7508,1989,,1299,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1800-Webster-St-94301/home/1557351,MLSListings,ML81745419,N,Y,37.4390497,-122.1417168
PAST SALE,2019,PALO ALTO,CA,94301,6550000,5,5.5,PALO ALTO,5665,11570,2009,,1156,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2281-Byron-St-94301/home/590277,MLSListings,ML81737881,N,Y,37.4362459,-122.1350847
PAST SALE,2019,PALO ALTO,CA,94301,5780000,5,5.5,PALO ALTO,4611,9750,1987,,1254,,Sold,,,https://www.redfin.com/CA/Palo-Alto/328-Churchill-Ave-94301/home/933614,MLSListings,ML81751946,N,Y,37.438316,-122.1484594
PAST SALE,2019,MENLO PARK,CA,94025,5000000,4,3.5,MENLO PARK,3423,10000,1951,,1461,,Sold,,,https://www.redfin.com/CA/Menlo-Park/1745-Bay-Laurel-Dr-94025/home/1851258,MLSListings,ML81770384,N,Y,37.433715,-122.1878639
PAST SALE,2019,MENLO PARK,CA,94025,6750000,7,5.5,MENLO PARK,5415,11614,2015,,1247,,Sold,,,https://www.redfin.com/CA/Menlo-Park/1740-Oak-Ave-94025/home/1857640,MLSListings,ML81773154,N,Y,37.4342098,-122.1891941
PAST SALE,2019,PALO ALTO,CA,94301,5595000,5,4.5,PALO ALTO,3487,7345,1994,,1605,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1820-Bryant-St-94301/home/591390,MLSListings,ML81771742,N,Y,37.4352891,-122.1452212
PAST SALE,2019,PALO ALTO,CA,94301,5500000,4,4,PALO ALTO,3349,11250,1930,,1642,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1485-Emerson-St-94301/home/592545,MLSListings,ML81775466,N,Y,37.4372099,-122.1504998
